código,municipio,departamento,mesas,total_mesas,votantes,total_votantes,votos_por_candidato,votos_en_blanco,votos_nulos,votos_no_marcados,iván duque,gustavo petro,dane
07251,Santa Maria,Boyaca,10,10,1584,3186,1480,68,28,8,936,544,15690
07253,Santa Rosa De Viterbo,Boyaca,23,23,5334,8147,5037,208,82,7,3101,1936,15693
07256,Santa Sofia,Boyaca,8,8,1805,3042,1728,49,22,6,1393,335,15696
07250,Santana,Boyaca,19,19,3643,6939,3497,102,42,2,2291,1206,15686
07259,Sativanorte,Boyaca,8,8,1381,2451,1346,22,8,5,972,374,15720
07262,Sativasur,Boyaca,4,4,616,1213,587,18,11,0,383,204,15723
07265,Siachoque,Boyaca,17,17,3819,6191,3654,96,54,15,2363,1291,15740
07268,Soata,Boyaca,20,20,4638,7413,4467,126,33,12,3279,1188,15753
07274,Socha,Boyaca,18,18,3280,6041,3086,108,76,10,1845,1241,15757
07271,Socota,Boyaca,19,19,3071,5774,2939,63,36,33,2224,715,15755
07277,Sogamoso,Boyaca,229,236,57639,91941,54118,2543,928,50,24796,29322,15759
07280,Somondoco,Boyaca,7,7,1448,2670,1396,29,21,2,985,411,15761
07281,Sora,Boyaca,7,7,1637,2611,1548,45,39,5,748,800,15762
07282,Soraca,Boyaca,15,15,3516,5494,3380,90,39,7,2101,1279,15764
07283,Sotaquira,Boyaca,15,15,3655,5486,3559,58,34,4,2459,1100,15763
07286,Susacon,Boyaca,9,9,1572,2651,1518,37,9,8,1295,223,15774
07289,Sutamarchan,Boyaca,15,15,3501,5497,3351,109,35,6,2324,1027,15776
07292,Sutatenza,Boyaca,10,10,2098,3666,2016,51,28,3,1471,545,15778
07298,Tasco,Boyaca,13,13,2383,4816,2266,61,46,10,1166,1100,15790
07301,Tenza,Boyaca,9,9,1883,3444,1785,67,26,5,1365,420,15798
07304,Tibana,Boyaca,19,21,3129,7337,2987,82,46,14,1727,1260,15804
07307,Tibasosa,Boyaca,23,23,5425,8726,5097,237,86,5,2360,2737,15806
07310,Tinjaca,Boyaca,8,8,1677,2778,1602,59,13,3,1021,581,15808
07311,Tipacoque,Boyaca,10,10,1767,3335,1702,39,17,9,1303,399,15810
07313,Toca,Boyaca,19,19,3877,7082,3657,148,66,6,1846,1811,15814
07316,Togui,Boyaca,12,12,2248,4317,2138,55,45,10,1643,495,15816
07319,Topaga,Boyaca,9,9,2002,3025,1900,65,33,4,1226,674,15820
07322,Tota,Boyaca,12,12,2042,4090,1962,44,26,10,1576,386,15822
07001,Tunja,Boyaca,294,313,75608,121599,70619,3669,1272,48,26647,43972,15001
07324,Tunungua,Boyaca,4,4,804,1364,780,17,5,2,545,235,15832
07325,Turmeque,Boyaca,15,15,2931,5611,2746,120,57,8,1471,1275,15835
07328,Tuta,Boyaca,20,21,4478,7544,4230,159,78,11,2244,1986,15837
07331,Tutaza,Boyaca,5,5,1081,1811,1028,29,21,3,579,449,15839
07334,Umbita,Boyaca,15,15,3324,5648,3224,73,26,1,2390,834,15842
07337,Ventaquemada,Boyaca,30,30,6067,10928,5757,186,116,8,2971,2786,15861
07139,Villa De Leiva,Boyaca,30,30,7618,11132,7129,404,73,12,4204,2925,15407
07340,Viracacha,Boyaca,7,7,1540,2497,1490,27,23,0,1151,339,15879
07346,Zetaquira,Boyaca,11,11,2281,3932,2234,39,7,1,1523,711,15897
09004,Aguadas,Caldas,54,54,10512,18555,9944,345,186,37,8896,1048,17013
09007,Anserma,Caldas,80,80,15709,27803,14678,612,369,50,11995,2683,17042
09013,Aranzazu,Caldas,34,34,5977,11177,5670,192,96,19,5136,534,17050
09022,Belalcazar,Caldas,30,30,5294,10163,5021,167,90,16,3978,1043,17088
09034,Chinchina,Caldas,106,107,24019,44739,21685,1543,699,92,15760,5925,17174
09037,Filadelfia,Caldas,27,27,4921,9301,4695,152,63,11,4077,618,17272
09049,La Dorada,Caldas,148,148,28452,56458,26400,1110,894,48,19211,7189,17380
09052,La Merced,Caldas,18,18,2804,5552,2609,136,46,13,2178,431,17388
09001,Manizales,Caldas,862,862,196887,325422,174972,16117,5409,389,103834,71138,17001
09055,Manzanares,Caldas,45,45,8107,15318,7778,205,103,21,6792,986,17433
09058,Marmato,Caldas,21,21,3023,6889,2765,128,120,10,2131,634,17442
09061,Marquetalia,Caldas,32,32,6185,11415,5925,159,78,23,5089,836,17444
09067,Marulanda,Caldas,9,9,1219,2535,1136,51,24,8,993,143,17446
09076,Neira,Caldas,51,51,10987,19574,10088,532,303,64,8036,2052,17486
09078,Norcasia,Caldas,16,16,2779,5866,2529,147,90,13,1945,584,17495
09079,Pacora,Caldas,34,34,6746,11865,6337,260,121,28,5762,575,17513
09082,Palestina,Caldas,41,41,7048,14945,6574,274,185,15,4860,1714,17524
09085,Pensilvania,Caldas,48,48,9154,16240,8733,250,130,41,7704,1029,17541
09103,Riosucio,Caldas,103,103,22399,38548,20942,910,466,81,14425,6517,17614
09106,Risaralda,Caldas,30,30,5232,10526,4950,165,98,19,4177,773,17616
09109,Salamina,Caldas,42,42,7622,15158,7043,398,144,37,5616,1427,17653
09115,Samana,Caldas,47,47,8930,15937,8537,220,132,41,7458,1079,17662
09120,San Jose,Caldas,14,14,2556,4976,2426,86,33,11,1940,486,17665
09124,Supia,Caldas,60,60,11942,21861,10771,518,575,78,8552,2219,17777
09127,Victoria,Caldas,25,25,4321,8295,4012,177,117,15,3344,668,17867
09130,Villamaria,Caldas,105,105,24438,40633,21866,1783,747,42,13878,7988,17873
09133,Viterbo,Caldas,38,38,7315,13111,6932,245,100,38,5867,1065,17877
44002,Albania,Caqueta,12,12,1973,3964,1889,57,23,4,1519,370,18029
44004,Belen De Los Andaquies,Caqueta,20,20,3833,7662,3657,106,61,9,2689,968,18094
44003,Cartagena Del Chaira,Caqueta,52,52,6421,19085,5959,329,107,26,2731,3228,18150
44012,Curillo,Caqueta,21,21,2676,7431,2530,98,35,13,1835,695,18205
44005,El Doncello,Caqueta,43,43,7165,15504,6761,269,110,25,4540,2221,18247
44006,El Paujil,Caqueta,32,32,4648,11767,4425,153,53,17,2552,1873,18256
44001,Florencia,Caqueta,310,312,64160,119908,60722,2451,760,227,40239,20483,18001
44007,La Montañita,Caqueta,31,31,4437,11010,3943,98,48,348,1730,2213,18410
44016,Milan,Caqueta,20,20,2036,6462,1975,42,14,5,1306,669,18460
44017,Morelia,Caqueta,10,10,1709,3696,1657,39,13,0,1293,364,18479
44009,Puerto Rico,Caqueta,52,52,7619,18932,7089,378,125,27,4775,2314,18592
44020,San Jose Del Fragua,Caqueta,26,26,4328,9089,4104,140,73,11,2666,1438,18610
44010,San Vicente Del Caguan,Caqueta,94,94,12898,32825,12198,528,141,31,7758,4440,18753
44022,Solano,Caqueta,24,24,2136,7726,2029,65,28,14,894,1135,18756
44024,Solita,Caqueta,15,15,1930,5584,1774,97,54,5,1343,431,18785
44040,Valparaiso,Caqueta,16,16,2164,5941,2028,96,34,6,1468,560,18860
46040,Aguazul,Casanare,78,78,18940,27336,17585,798,528,29,12689,4896,85010
46120,Chameza,Casanare,5,5,1191,1668,1161,23,7,0,902,259,85015
46320,Hato Corozal,Casanare,30,30,4506,7202,4397,77,20,12,3749,648,85125
46480,La Salina,Casanare,3,3,458,784,432,22,3,1,117,315,85136
46520,Mani,Casanare,32,33,6397,10343,6106,196,81,14,4849,1257,85139
46540,Monterrey,Casanare,33,33,7151,11211,6727,286,132,6,4943,1784,85162
46560,Nunchia,Casanare,26,26,4105,6277,3979,78,33,15,3488,491,85225
46640,Orocue,Casanare,24,24,4111,7646,3957,105,41,8,3097,860,85230
46680,Paz De Ariporo (moreno),Casanare,68,69,15231,24150,14713,370,131,17,12524,2189,85250
46700,Pore,Casanare,19,19,4685,6972,4560,86,34,5,3978,582,85263
46760,Recetor,Casanare,5,5,795,1208,763,24,5,3,574,189,85279
46800,Sabanalarga,Casanare,9,9,1670,2720,1605,53,11,1,1238,367,85300
46815,Sacama,Casanare,4,4,719,1509,688,22,5,4,257,431,85315
46830,San Luis De Palenque,Casanare,20,20,3723,5956,3612,78,29,4,3186,426,85325
46840,Tamara,Casanare,15,15,2700,4421,2622,46,25,7,2227,395,85400
46850,Tauramena,Casanare,45,45,11089,16317,10434,449,192,14,7987,2447,85410
46865,Trinidad,Casanare,30,30,5625,9331,5431,111,65,18,4653,778,85430
46880,Villanueva,Casanare,57,57,13738,21468,12834,542,336,26,9580,3254,85440
46001,Yopal,Casanare,283,296,67720,109645,63976,2761,940,43,44996,18980,85001
11004,Almaguer,Cauca,37,37,6060,12434,5935,36,53,36,865,5070,19022
11005,Argelia,Cauca,51,54,9109,17806,8854,125,121,9,696,8158,19050
11006,Balboa,Cauca,44,44,6837,15752,6660,94,67,16,894,5766,19075
11007,Bolivar,Cauca,116,118,13782,30646,13437,140,170,35,3018,10419,19100
11010,Buenos Aires,Cauca,46,47,7379,16018,6799,264,246,70,3511,3288,19110
11013,Cajibio,Cauca,52,70,8547,23818,8030,239,238,40,3732,4298,19130
11016,Caldono,Cauca,59,62,11826,21573,11474,186,128,38,2904,8570,19137
11019,Caloto,Cauca,53,55,10862,18375,10221,356,266,19,3134,7087,19142
11022,Corinto,Cauca,48,52,10060,17951,9511,317,202,30,3011,6500,19212
11025,El Tambo,Cauca,113,122,14173,34542,13332,410,300,131,7410,5922,19256
11027,Florencia,Cauca,13,13,2610,4591,2519,42,32,17,692,1827,19290
11029,Guachene,Cauca,34,39,7327,12942,6846,161,301,19,1520,5326,19300
11028,Guapi,Cauca,51,63,6197,18748,6006,46,57,88,1090,4916,19318
11031,Inza,Cauca,34,50,6019,16775,5839,90,70,20,2010,3829,19355
11034,Jambalo,Cauca,16,25,3222,8414,3130,36,42,14,294,2836,19364
11037,La Sierra,Cauca,25,25,4462,8930,4265,91,83,23,1941,2324,19392
11040,La Vega,Cauca,39,48,5252,14936,5094,81,53,24,1490,3604,19397
11043,Lopez (micay),Cauca,39,51,3192,12677,3119,38,17,18,1427,1692,19418
11046,Mercaderes,Cauca,46,46,6290,13728,6119,84,51,36,1205,4914,19450
11049,Miranda,Cauca,56,58,11903,19839,11221,366,290,26,3055,8166,19455
11052,Morales,Cauca,48,56,8045,19348,7709,189,115,32,3936,3773,19473
11053,Padilla,Cauca,19,19,3994,6721,3717,96,176,5,875,2842,19513
11055,Paez (belalcazar),Cauca,59,63,9514,19705,9190,134,150,40,2783,6407,19517
11058,Patia (el Bordo),Cauca,74,79,9647,25265,9228,232,163,24,2986,6242,19532
11060,Piamonte,Cauca,19,21,2161,5259,2088,39,28,6,876,1212,19533
11061,Piendamo,Cauca,73,84,12583,27903,11896,455,195,37,6801,5095,19548
11001,Popayan,Cauca,605,620,133998,237019,126465,5321,2071,141,47681,78784,19001
11064,Puerto Tejada,Cauca,75,82,16438,32658,15549,497,375,17,2538,13011,19573
11067,Purace (coconuco),Cauca,26,26,4414,8806,4255,86,60,13,1680,2575,19585
11070,Rosas,Cauca,25,25,4482,8703,4264,105,97,16,2257,2007,19622
11073,San Sebastian,Cauca,21,22,3035,6958,2940,40,36,19,1002,1938,19693
11079,Santa Rosa,Cauca,16,16,1909,3937,1867,23,17,2,746,1121,19701
11076,Santander De Quilichao,Cauca,179,191,38245,77147,35806,1389,972,78,13821,21985,19698
11082,Silvia,Cauca,64,67,12290,22475,11848,236,163,43,2507,9341,19743
11085,Sotara (paispamba),Cauca,23,23,3885,7186,3709,90,72,14,1580,2129,19760
11087,Suarez,Cauca,44,49,6453,16327,6009,209,201,34,3031,2978,19780
11086,Sucre,Cauca,21,21,3009,5581,2952,33,18,6,269,2683,19785
11088,Timbio,Cauca,68,72,13580,25555,12846,399,302,33,6608,6238,19807
11091,Timbiqui,Cauca,48,50,6751,14597,6662,42,41,6,1116,5546,19809
11094,Toribio,Cauca,50,51,11028,17605,10733,126,132,37,1142,9591,19821
11097,Totoro,Cauca,33,33,6045,11138,5865,91,72,17,1351,4514,19824
11098,Villa Rica,Cauca,36,36,8055,13648,7615,185,239,16,1387,6228,19845
12075,Aguachica,Cesar,188,189,39779,67918,37899,1037,663,180,27280,10619,20011
12150,Agustin Codazzi,Cesar,116,116,21623,46690,21002,358,239,24,11874,9128,20013
12170,Astrea,Cesar,40,40,7576,14414,7442,67,50,17,4388,3054,20032
12180,Becerril,Cesar,43,43,7628,16138,7400,125,89,14,2750,4650,20045
12200,Bosconia,Cesar,74,74,13537,27683,13232,190,104,11,7286,5946,20060
12300,Chimichagua,Cesar,72,75,10622,23862,10426,124,59,13,6565,3861,20175
12375,Chiriguana,Cesar,60,60,11031,21729,10810,113,96,12,5424,5386,20178
12225,Curumani,Cesar,74,74,12845,26201,12404,259,163,19,6456,5948,20228
12410,El Copey,Cesar,61,61,10938,22748,10660,139,131,8,4809,5851,20238
12415,El Paso,Cesar,59,59,12022,21621,11773,118,117,14,3990,7783,20250
12450,Gamarra,Cesar,31,31,5199,10429,5043,106,39,11,3504,1539,20295
12525,Gonzalez,Cesar,11,15,1489,4005,1392,64,31,2,1032,360,20310
12600,La Gloria,Cesar,32,34,5624,10906,5492,77,44,11,3617,1875,20383
12608,La Jagua De Ibirico,Cesar,72,72,15097,26803,14507,334,243,13,5108,9399,20400
12825,La Paz,Cesar,52,57,8761,19832,8557,147,48,9,5686,2871,20621
12625,Manaure Balcon Del Cesar (mana,Cesar,23,23,4249,7556,4158,58,31,2,2382,1776,20443
12650,Pailitas,Cesar,37,41,6807,14490,6512,161,118,16,3893,2619,20517
12700,Pelaya,Cesar,34,37,6504,13937,6299,106,86,13,4551,1748,20550
12720,Pueblo Bello,Cesar,50,50,7484,18132,7285,100,69,30,3156,4129,20570
12750,Rio De Oro,Cesar,46,47,8174,15423,7885,181,90,18,5943,1942,20614
12800,San Alberto,Cesar,52,52,9991,18439,9596,246,140,9,5599,3997,20710
12850,San Diego,Cesar,40,41,7484,14603,7261,143,72,8,4594,2667,20750
12875,San Martin,Cesar,44,46,9189,15450,8731,240,203,15,5582,3149,20770
12900,Tamalameque,Cesar,31,31,4951,10229,4870,47,29,5,2656,2214,20787
12001,Valledupar,Cesar,749,764,148141,291104,142540,3924,1596,81,73753,68787,20001
17004,Acandi,Choco,23,28,2705,8701,2612,57,28,8,1651,961,27006
17006,Alto Baudo (pie De Pato),Choco,41,48,3717,9928,3608,15,14,80,295,3313,27025
17002,Atrato (yuto),Choco,21,27,2637,8789,2519,34,72,12,822,1697,27050
17007,Bagado,Choco,25,26,2368,8052,2296,28,36,8,917,1379,27073
17008,Bahia Solano (mutis),Choco,24,24,2773,7798,2642,71,45,15,1484,1158,27075
17010,Bajo Baudo (pizarro),Choco,19,37,1485,10395,1460,7,9,9,387,1073,27077
17011,Bojaya (bellavista),Choco,26,29,1847,7212,1805,18,19,5,531,1274,27099
17015,Carmen Del Darien,Choco,18,21,2033,6271,1990,20,20,3,485,1505,27150
17014,Certegui,Choco,15,15,1931,4365,1857,23,41,10,980,877,27160
17013,Condoto,Choco,37,37,3992,10454,3793,80,105,14,1627,2166,27205
17017,EL Canton Del San Pablo (man.,Choco,11,16,1290,4997,1247,11,27,5,766,481,27135
17016,El Carmen,Choco,19,19,3125,6024,2943,129,42,11,2118,825,27245
17038,El Litoral Del San Juan,Choco,26,27,2837,7405,2819,10,6,2,166,2653,27250
17019,Istmina,Choco,61,64,7610,21369,7160,253,155,42,3087,4073,27361
17022,Jurado,Choco,13,13,803,3020,782,14,7,0,393,389,27372
17025,Lloro,Choco,27,28,2991,8401,2873,49,54,15,1635,1238,27413
17012,Medio Atrato (bete),Choco,18,20,1780,6048,1740,17,21,2,634,1106,27425
17026,Medio Baudo (puerto Meluk),Choco,31,32,3146,8171,3103,19,14,10,1942,1161,27430
17027,Medio San Juan,Choco,23,26,2439,7412,2344,36,42,17,477,1867,27450
17028,Novita,Choco,20,21,1913,5285,1816,37,47,13,1133,683,27491
17031,Nuqui,Choco,19,19,1763,5509,1717,29,14,3,436,1281,27495
17001,Quibdo,Choco,202,221,32692,79928,30924,784,879,105,10694,20230,27001
17032,Rio Iro,Choco,14,16,1323,4151,1264,23,31,5,715,549,27580
17035,Rio Quito (paimado),Choco,23,23,3220,6739,3101,49,68,2,1407,1694,27600
17034,Riosucio,Choco,38,65,3467,19470,3374,52,33,8,842,2532,27615
17037,San Jose Del Palmar,Choco,22,22,1211,4100,1127,45,27,12,527,600,27660
17040,Sipi,Choco,10,10,980,2580,951,7,18,4,180,771,27745
17043,Tado,Choco,33,41,4454,12855,4191,79,157,27,2287,1904,27787
17048,Unguia,Choco,20,25,2367,8276,2276,63,23,5,1242,1034,27800
17060,Union Panamericana (las Animas,Choco,16,16,2238,5265,2130,49,45,14,1244,886,27810
88120,Alemania,Consulados,23,23,2627,12875,2480,144,3,0,585,1895,27810
88130,Argelia,Consulados,7,7,6,3615,6,0,0,0,4,2,27810
88155,Argentina,Consulados,37,41,7067,20490,6817,230,20,0,1679,5138,27810
88160,Aruba,Consulados,14,14,2256,8000,2224,31,1,0,1893,331,27810
88135,Arzerbaiyan,Consulados,7,7,16,3622,16,0,0,0,12,4,27810
88165,Australia,Consulados,36,36,6325,21831,5946,373,5,1,2038,3908,27810
88170,Austria,Consulados,9,9,479,4554,450,29,0,0,141,309,27810
88190,Belgica,Consulados,10,10,1119,6082,1064,55,0,0,417,647,27810
88415,Belice,Consulados,0,1,0,33,0,0,0,0,0,0,27810
88215,Bolivia,Consulados,8,8,412,4607,399,13,0,0,272,127,27810
88220,Brasil,Consulados,40,40,2069,18755,1972,95,2,0,690,1282,27810
88250,Canada,Consulados,94,106,13416,58226,12745,654,15,2,7593,5152,27810
88305,Chile,Consulados,38,49,5511,25893,5236,253,21,1,2732,2504,27810
88315,China Republica Popular,Consulados,28,28,425,15203,386,39,0,0,215,171,27810
88320,Chipre,Consulados,1,1,26,56,26,0,0,0,14,12,27810
88275,Corea Del Sur,Consulados,7,7,99,3769,91,8,0,0,37,54,27810
88285,Costa Rica,Consulados,6,20,1727,12513,1663,58,5,1,1374,289,27810
88290,Cuba,Consulados,8,8,204,3963,196,8,0,0,64,132,27810
88140,Curazao,Consulados,10,10,723,5441,703,17,3,0,551,152,27810
88325,Dinamarca,Consulados,1,1,89,143,83,6,0,0,27,56,27810
88330,Ecuador,Consulados,60,94,4570,55082,4379,118,49,24,3140,1239,27810
88335,Egipto,Consulados,7,7,39,3751,34,5,0,0,13,21,27810
88340,El Salvador,Consulados,6,7,147,4122,136,11,0,0,101,35,27810
88350,Emiratos Arabes Unidos,Consulados,9,9,1140,5466,1099,37,4,0,925,174,27810
88355,España,Consulados,248,248,24799,151954,23587,1112,90,10,14072,9515,27810
88360,Estados Unidos,Consulados,376,647,75308,354748,73351,1890,59,8,64436,8915,27810
88375,Finlandia,Consulados,7,7,129,3813,122,7,0,0,39,83,27810
88380,Francia,Consulados,35,35,5072,18524,4778,277,16,1,1589,3189,27810
88115,Ghana,Consulados,7,7,14,3618,12,2,0,0,4,8,27810
88405,Grecia,Consulados,1,1,43,78,43,0,0,0,28,15,27810
88410,Guatemala,Consulados,6,9,377,4733,361,16,0,0,301,60,27810
88440,Honduras,Consulados,6,7,143,4112,130,13,0,0,104,26,27810
88455,India,Consulados,7,7,24,3670,21,3,0,0,12,9,27810
88460,Indonesia,Consulados,7,7,35,3674,29,6,0,0,17,12,27810
88465,Inglaterra,Consulados,40,40,5345,20530,5102,234,8,1,2997,2105,27810
88470,Irlanda,Consulados,1,1,111,192,100,11,0,0,39,61,27810
88490,Israel,Consulados,8,9,317,4722,301,16,0,0,235,66,27810
88495,Italia,Consulados,29,29,2247,15091,2132,103,11,1,1225,907,27810
88500,Jamaica,Consulados,8,8,78,3868,76,2,0,0,71,5,27810
88505,Japon,Consulados,10,10,243,4531,227,16,0,0,129,98,27810
88515,Kenia,Consulados,7,7,26,3670,24,2,0,0,11,13,27810
88535,Libano,Consulados,8,8,101,4444,100,1,0,0,95,5,27810
88540,Luxemburgo,Consulados,1,1,64,86,55,9,0,0,29,26,27810
88560,Malasia,Consulados,7,7,53,3713,49,4,0,0,34,15,27810
88580,Marruecos,Consulados,7,7,21,3635,20,1,0,0,6,14,27810
88590,Mexico,Consulados,38,45,4366,23531,4146,215,4,1,2236,1910,27810
88620,Nicaragua,Consulados,6,7,53,3894,48,5,0,0,31,17,27810
88635,Noruega,Consulados,7,7,179,3908,167,12,0,0,37,130,27810
88625,Nueva Zelandia,Consulados,8,8,600,4468,559,41,0,0,187,372,27810
88435,Paises Bajos,Consulados,17,17,1098,10019,1047,48,2,1,447,600,27810
88655,Panama,Consulados,30,55,3294,32232,3150,138,3,3,2550,600,27810
88665,Paraguay,Consulados,8,8,198,3997,188,9,1,0,134,54,27810
88670,Peru,Consulados,16,21,1317,11665,1249,65,3,0,892,357,27810
88675,Polonia,Consulados,7,7,111,3789,110,0,1,0,41,69,27810
88680,Portugal,Consulados,8,8,282,4213,262,20,0,0,117,145,27810
88683,Puerto Rico,Consulados,10,10,659,5034,630,27,1,1,419,211,27810
88370,Republica De Filipinas,Consulados,7,7,66,3713,63,3,0,0,36,27,27810
88688,Republica De Singapur,Consulados,7,7,128,3816,112,16,0,0,70,42,27810
88685,Republica Dominicana,Consulados,12,12,1001,5821,937,60,4,0,702,235,27810
88690,Republica Socialista Devietnam,Consulados,7,7,22,3641,21,1,0,0,7,14,27810
88700,Rusia,Consulados,7,7,133,4095,130,3,0,0,34,96,27810
88745,Sudafrica,Consulados,8,8,100,3810,93,7,0,0,53,40,27810
88755,Suecia,Consulados,9,9,593,5506,567,26,0,0,206,361,27810
88760,Suiza,Consulados,15,15,1833,7954,1744,89,0,0,799,945,27810
88765,Tailandia,Consulados,7,7,44,3698,40,4,0,0,22,18,27810
88785,Trinidad Y Tobago,Consulados,7,7,77,3806,67,10,0,0,45,22,27810
88770,Turquia,Consulados,8,8,68,3762,64,4,0,0,18,46,27810
88805,Uruguay,Consulados,8,8,323,4193,305,17,1,0,128,177,27810
88815,Venezuela,Consulados,461,496,32612,304008,32265,205,93,49,27054,5211,27810
13004,Ayapel,Cordoba,93,93,14063,32450,13779,161,107,16,8973,4806,23068
13007,Buenavista,Cordoba,50,50,7985,17420,7755,137,80,13,3522,4233,23079
13009,Canalete,Cordoba,47,47,7144,16102,7032,59,35,18,3470,3562,23090
13010,Cerete,Cordoba,190,190,39945,73045,38966,653,297,29,18144,20822,23162
13016,Chima,Cordoba,37,37,6737,13107,6659,41,29,8,3454,3205,23168
13019,Chinu,Cordoba,111,112,21439,36920,21010,279,130,20,13946,7064,23182
13013,Cienaga De Oro,Cordoba,101,111,22101,43696,21643,250,168,40,8051,13592,23189
13014,Cotorra (bongo),Cordoba,43,43,7930,14621,7795,95,36,4,4073,3722,23300
13020,La Apartada (frontera),Cordoba,35,35,5830,12769,5624,113,70,23,2179,3445,23350
13022,Lorica,Cordoba,241,243,43775,86010,42985,473,285,32,21508,21477,23417
13023,Los Cordobas,Cordoba,41,42,7283,14788,7141,85,44,13,4323,2818,23419
13024,Momil,Cordoba,38,38,7715,13955,7599,81,26,9,4254,3345,23464
13025,Montelibano,Cordoba,142,144,28551,56437,27762,497,259,33,8315,19447,23466
13001,Monteria,Cordoba,778,823,156030,314508,151596,3146,1166,122,84678,66918,23001
13027,Moñitos,Cordoba,52,53,8040,18449,7889,77,56,18,4260,3629,23500
13028,Planeta Rica,Cordoba,130,130,25483,53217,24721,486,229,47,12033,12688,23555
13031,Pueblo Nuevo,Cordoba,75,75,12426,24280,12172,150,78,26,6775,5397,23570
13033,Puerto Escondido,Cordoba,54,55,8342,18257,8227,71,30,14,4409,3818,23574
13032,Puerto Libertador,Cordoba,74,74,13091,26482,12652,291,114,34,3362,9290,23580
13034,Purisima,Cordoba,39,39,6972,13656,6835,86,32,19,4388,2447,23586
13037,Sahagun,Cordoba,217,220,40313,79486,39491,493,271,58,19168,20323,23660
13040,San Andres De Sotavento,Cordoba,80,80,14994,28695,14707,107,152,28,7427,7280,23670
13043,San Antero,Cordoba,61,61,11708,21641,11482,137,72,17,6402,5080,23672
13046,San Bernardo Del Viento,Cordoba,78,78,11647,26700,11422,125,76,24,3961,7461,23675
13049,San Carlos,Cordoba,56,56,9080,19990,8897,96,67,20,5184,3713,23678
13052,San Jose De Ure,Cordoba,25,25,3626,7790,3542,42,37,5,1042,2500,23682
13055,San Pelayo,Cordoba,98,99,18151,36045,17867,184,80,20,8792,9075,23686
13058,Tierralta,Cordoba,156,162,25422,62740,24742,400,237,43,12734,12008,23807
13060,Tuchin,Cordoba,62,64,12168,22221,11935,72,138,23,6929,5006,23815
13061,Valencia,Cordoba,77,77,11856,25601,11570,179,87,20,7013,4557,23855
15004,Agua De Dios,Cundinamarca,26,26,5401,9726,5055,227,113,6,2949,2106,25001
15007,Alban,Cundinamarca,14,14,2916,5146,2752,105,54,5,2118,634,25019
15010,Anapoima,Cundinamarca,32,33,6991,11918,6721,218,49,3,5258,1463,25035
15013,Anolaima,Cundinamarca,31,31,6432,11449,6131,217,75,9,4635,1496,25040
15217,Apulo,Cundinamarca,18,18,4085,6906,3944,88,45,8,3158,786,25599
15016,Arbelaez,Cundinamarca,18,24,4307,9076,4093,161,48,5,3024,1069,25053
15019,Beltran,Cundinamarca,7,7,1088,2113,1059,14,11,4,826,233,25086
15022,Bituima,Cundinamarca,8,8,1345,2793,1293,35,9,8,1012,281,25095
